Song,Artist,Valence,Key,Mode,Danceability,Date
Bigger Than Life,Lil Uzi Vert,0.716,8.0,0.0,0.7759999999999999,2020-03-06
Celebration Station,Lil Uzi Vert,0.792,6.0,1.0,0.748,2020-03-06
You Better Move,Lil Uzi Vert,0.306,8.0,1.0,0.8420000000000001,2020-03-06
I'm Sorry,Lil Uzi Vert,0.303,1.0,1.0,0.858,2020-03-06
Venetia,Lil Uzi Vert,0.562,9.0,1.0,0.775,2020-03-06
Chrome Heart Tags,Lil Uzi Vert,0.574,0.0,1.0,0.7020000000000001,2020-03-06
Bust Me,Lil Uzi Vert,0.608,11.0,1.0,0.7340000000000001,2020-03-06
Happiness Over Everything (H.O.E.),Jhene Aiko Featuring Future & Miguel,0.867,1.0,0.0,0.415,2020-03-06
Captain Hook,Megan Thee Stallion,0.545,10.0,0.0,0.863,2020-03-06
Urgency,Lil Uzi Vert Featuring Syd,0.47100000000000003,1.0,1.0,0.619,2020-03-06
SkyBox,Gunna,0.34299999999999997,1.0,1.0,0.779,2020-03-06
Triggered,Jhene Aiko,0.391,0.0,1.0,0.485,2020-03-06
None Of Your Concern,Jhene Aiko Featuring Big Sean,0.373,9.0,0.0,0.43700000000000006,2020-03-06
Myron,Lil Uzi Vert,0.573,8.0,0.0,0.7709999999999999,2020-03-13
Bean (Kobe),Lil Uzi Vert Featuring Chief Keef,,,,,
Yessirskiii,Lil Uzi Vert & 21 Savage,0.763,8.0,1.0,0.895,2020-03-13
Lotus,Lil Uzi Vert,0.516,8.0,1.0,0.802,2020-03-13
Wassup,Lil Uzi Vert Featuring Future,0.626,5.0,0.0,0.762,2020-03-13
Strawberry Peels,Lil Uzi Vert Featuring Young Thug & Gunna,0.6579999999999999,10.0,0.0,0.862,2020-03-13
Moon Relate,Lil Uzi Vert,0.34,7.0,1.0,0.867,2020-03-13
